"","AirPtCd","lag","mxT_mean","mxT_sd","mnT_mean","mnT_sd","mxT_mean_abs","mxT_sd_abs","mnT_mean_abs","mnT_sd_abs","Precip_Acc","city","state","longitude","latitude","elevation","name.arpt","state.arpt","lon.arpt","lat.arpt","elev.arpt","WMO","census2010","est2010","est2016","dist2Coast","coastRegion","coast.arpt","coastRegion.arpt"
"1","KAAO",0,0.645853658536585,3.12663158626332,1.7734375,4.02866531046862,2.3609756097561,2.14795483769005,2.974609375,3.24366287102559,0.86491739552964,"Wichita","Kansas",-97.2833,37.7167,429,"Wichita Jabara","KS",-97.22,37.75,433,99999,382368,382417,389902,893.230688390561,"L",886.544559708616,"L"
"2","KAAO",1,0.599609375,3.60972941850618,1.97947214076246,5.19564104098494,2.71484375,2.45202937776115,4.05376344086022,3.80364988618894,0.83852140077821,"Wichita","Kansas",-97.2833,37.7167,429,"Wichita Jabara","KS",-97.22,37.75,433,99999,382368,382417,389902,893.230688390561,"L",886.544559708616,"L"
"3","KAAO",2,0.331378299120235,4.25883021394279,2.08610567514677,5.14647571095737,3.18768328445748,2.84188080437001,4.10958904109589,3.73323559650316,0.820038910505837,"Wichita","Kansas",-97.2833,37.7167,429,"Wichita Jabara","KS",-97.22,37.75,433,99999,382368,382417,389902,893.230688390561,"L",886.544559708616,"L"
"4","KAAO",3,-0.139079333986288,4.75788826268236,2.17450980392157,5.12521688714122,3.54750244857982,3.17171106960622,4.17843137254902,3.67757513473688,0.813840155945419,"Wichita","Kansas",-97.2833,37.7167,429,"Wichita Jabara","KS",-97.22,37.75,433,99999,382368,382417,389902,893.230688390561,"L",886.544559708616,"L"
"5","KAAO",4,-0.147058823529412,5.31296682312822,2.15309126594701,5.21446885357125,4.06470588235294,3.42216544048154,4.30029440628067,3.64970460786002,0.802926829268293,"Wichita","Kansas",-97.2833,37.7167,429,"Wichita Jabara","KS",-97.22,37.75,433,99999,382368,382417,389902,893.230688390561,"L",886.544559708616,"L"
"6","KAAO",5,-0.141315014720314,6.25675671221716,2.0992141453831,5.65033038002713,4.83807654563297,3.96699084142903,4.62180746561886,3.86718995979203,0.7978515625,"Wichita","Kansas",-97.2833,37.7167,429,"Wichita Jabara","KS",-97.22,37.75,433,99999,382368,382417,389902,893.230688390561,"L",886.544559708616,"L"
"7","KAAO",6,-0.181728880157171,7.16866475248365,2.5938864628821,5.90672629270461,5.51571709233792,4.57927533163845,5.11353711790393,3.92771002760928,0.786692759295499,"Wichita","Kansas",-97.2833,37.7167,429,"Wichita Jabara","KS",-97.22,37.75,433,99999,382368,382417,389902,893.230688390561,"L",886.544559708616,"L"
"8","KACY",0,-3.20116054158607,4.23557955649861,4,6.74741354483438,4,3.49027136361555,5.79883945841393,5.28052904879699,0.851063829787234,"Atlantic City","New Jersey",-74.4167,39.3667,4,"Atlantic City","NJ",-74.57,39.45,20,72407,39558,39558,38735,0.530993377514091,"M",5.56149350683829,"M"
"9","KACY",1,-3.06389157792836,4.51824286220613,3.65924491771539,6.97448660352765,4.19651500484027,3.4904503516013,5.81413359148112,5.31127162265101,0.831558567279768,"Atlantic City","New Jersey",-74.4167,39.3667,4,"Atlantic City","NJ",-74.57,39.45,20,72407,39558,39558,38735,0.530993377514091,"M",5.56149350683829,"M"
"10","KACY",2,-3.25484496124031,5.01926219602328,4.92538759689922,6.93276948766642,4.5843023255814,3.84201411393459,6.50872093023256,5.471903502925,0.816860465116279,"Atlantic City","New Jersey",-74.4167,39.3667,4,"Atlantic City","NJ",-74.57,39.45,20,72407,39558,39558,38735,0.530993377514091,"M",5.56149350683829,"M"
