AirPtCd,Sd_Max_Temp,Max_Temp,Sd_Min_Temp,Min_Temp,Sd_Precip,Mean_Precip,Sd_Max_DewPoint,Max_DewPoint,Sd_Min_DewPoint,Min_DewPoint,Sd_Max_Humidity,Max_Humidity,Sd_Min_Humidity,Min_Humidity,Sd_Max_Sea_Level_Press,Max_Sea_Level_Press,Sd_Min_Sea_Level_Press,Min_Sea_Level_Press,Sd_Vis,Min_Vis,Sd_CloudCover,CloudCover,Sd_Mean_Wind_Speed,Mean_Wind_Speed,Sd_Max_Wind_Speed,Max_Wind_Speed,mxT_sd,mxT_mean,mnT_sd,mnT_mean,mxT_sd_abs,mxT_mean_abs,mnT_sd_abs,mnT_mean_abs,BSS,city,state,longitude,latitude,elevation,dist2coast,Cluster,stateABB
KAAO,19.0506529399548,70.8920967741935,18.2500926988968,49.2258637391024,0.294593503513283,0.0836113789778206,17.569803002387,52.6139158576052,19.6155722036406,42.1381877022654,11.0264253221712,88.1318770226537,15.5279332486923,44.9720064724919,0.215502807005269,30.1129234972678,0.21192282914229,29.9046319511411,3.57113775617982,7.49659974093264,2.5833074068924,2.33064255731353,4.25608275908671,10.3077171456248,6.57481282183861,18.623506619309,4.68074400878148,0.192270058708415,5.14438366930358,1.82304929807378,3.16825583424606,3.45058708414873,3.68426806542586,4.02644466209598,0.142714469668707,Wichita,Kansas,-97.2833,37.7167,429,892.843265018098,1,KS
KACY,17.6066705644043,66.7779555271157,17.5923982361669,47.2273236282195,0.412127791066771,0.140532714765638,17.3015599801363,52.2653258246179,20.0947293459958,39.8070796460177,11.2234226976207,88.6794250645995,16.9678227249117,47.8659065360527,0.195503425620322,30.1336194448901,0.211394026616964,29.9371169581261,4.10253638718563,6.18744971842317,2.69110581970896,3.13773129525342,3.91593398864928,8.62590158679276,6.23087356438459,19.2055564477276,5.26329372791544,-3.52431733721118,6.96818217715641,4.43268142880233,4.07466971875713,4.84957182097269,5.34320897580058,6.29691288184904,0.182458859443717,Atlantic City,New Jersey,-74.4167,39.3667,4,0.557594150344886,2,NJ
KAGC,19.1805278425458,63.263477843545,17.5977732655746,46.0735882258839,0.289338802966232,0.125247160454327,17.2325733060491,47.1059030555111,19.3350096254552,35.7989121740521,10.4515198650722,82.8749000159974,13.5046314144466,45.4348104303311,0.185853893387817,30.1441961286194,0.197398805537043,29.9455895056791,3.86196693039032,4.85714285714286,2.66583293744372,4.12350023996161,3.20671087228971,7.49768037114062,5.31337292240155,14.318828987362,4.71959300810243,-0.653740507351753,5.89807288557306,0.66289592760181,3.32522633163301,3.41218290515431,3.99026222342271,4.39334195216548,0.0470216634871172,Pittsburgh,Pennsylvania,-79.95,40.45,276,171.696535582235,2,PA
KALB,20.3697673806764,61.4554043234588,18.6983811716906,41.9144915932746,0.279212693208846,0.108304243394716,18.5282165135184,45.0965572457966,20.5919276509852,33.4499599679744,10.9078699531981,83.7407526020817,14.0206303688276,45.222257806245,0.210863972575643,30.1286917534027,0.225096539196486,29.9092746196958,3.9413173815181,6.78606885508407,2.13070852724621,5.24691753402722,3.83365896378359,7.60400320256205,6.73958815439124,18.8547638110488,4.22575258364305,-0.913634158175643,6.41414059813264,1.37878052725214,2.95680703888437,3.15397056445091,4.41923653098584,4.84861717612809,-0.210091799402565,Albany,New York,-73.75,42.6667,26,1.25006406308377,2,NY
KAMA,17.3693018448684,74.6925291953287,16.3573876401806,47.2577187649976,0.24708179837873,0.0735898256278995,15.2910252106156,48.4218525035994,17.2370781521082,36.3282674772036,13.8034846687408,83.1532554791233,16.9149607956094,33.0531115021597,0.198945937761936,30.1130699088146,0.196338714845973,29.8605263157895,3.70935836393374,7.4191329387298,2.49362300420293,1.94704847224444,3.92700099278209,12.5991041433371,7.01883300776655,24.7229243321069,5.23324534937519,-0.878655679431249,4.56154898434588,1.34873949579832,3.63407346704719,3.86653740507352,3.20906296880397,3.51098901098901,0.117716759433589,Amarillo,Texas,-101.833,35.1833,1115,850.780115194868,1,TX
KANJ,21.2026497277091,53.2889137737962,19.3385100111482,36.0873460246361,0.248900640856379,0.104895216765318,18.4794363982012,41.2372799224681,20.6872928975246,29.7438216766274,7.88724982573336,89.7087707963172,14.9266819922736,54.8043934743983,0.212678004560905,30.0944451623324,0.248683921634516,29.8627798417057,4.16701727796953,4.8476821192053,2.88063057380759,4.62251655629139,2.92659921036829,7.05927959941851,4.91760149587982,16.3022128896786,4.09473780200985,-2.18920665697205,5.92295618299554,1.38810793343028,2.91138993677868,3.61690095330425,4.08932202870301,4.50363548230732,-0.599159142579925,Sault Ste Marie,Michigan,-84.35,46.5,185,0.356451491658163,2,MI
KART,20.0911580667219,58.1945288753799,20.3625138001445,37.8161894096945,0.246503821457759,0.0934658454647256,17.9459592395703,45.6143017117261,21.1109306040981,32.4399296112622,9.18153575756167,90.0831866901296,14.1606214914401,51.634298512238,0.219150384395381,30.1088113901776,0.234161947910638,29.8805423132299,4.01374548255482,4.66277021617294,2.82492700330259,4.18445048792193,3.69661790107855,7.92641177411614,5.70872294458008,18.1754919212926,4.63286700707585,-1.89820649539506,8.66217969892294,3.36984973339796,3.3989667326496,3.67587655517854,6.29492839353286,6.83793827758927,0.124824644248605,Watertown,New York,-75.9167,43.9667,149,8.70000541796427,2,NY
KATL,14.3455793291938,75.6314189729643,14.6767801266906,56.7218045112782,0.383182281049129,0.142749960006399,15.1220244141987,57.2527595584706,17.9720233599508,47.2262038073908,11.7452562071472,84.7410728582866,16.0600783864698,44.8366661334187,0.151195601570978,30.1445640697488,0.156385869898631,29.9999392097264,3.84447615454909,6.99824028155495,2.26983230186979,4.51735722284435,3.10187393936156,7.75283954567269,5.75372541248024,18.0916653335466,3.79190046955282,-1.51990935577857,4.54727130098096,-0.252628174025554,2.72277789709893,3.04532211071544,3.09323887438198,3.34239042535986,0.17028492627791,Atlanta,Georgia,-84.3833,33.75,309,218.109915242447,3,GA
KAVP,19.9798543273211,62.9512078067509,17.4316079280601,43.6395776675732,0.258507752918536,0.0950983842585186,17.8773671786102,46.7721964485682,19.7956844389381,35.2706766917293,11.4041493154617,84.9900815869461,14.2309846771901,45.3012318029115,0.193550414171057,30.1253703407455,0.213537655275235,29.9183346664534,3.74669570712718,5.78195488721805,2.68517998885521,4.31195008798592,2.94080787727535,6.4399296112622,5.4688932561761,16.8597024476084,4.41639385160791,-2.52270156729682,6.12244611569992,0.31431803490627,3.28184213046426,3.88544191307158,3.98052528110606,4.66208791208791,-0.190250258424864,Scranton,Pennsylvania,-75.65,41.4,269,135.431484835106,2,PA
KBAD,15.0048621549239,78.3458124899145,14.8137223162148,57.6059383572696,0.583121695884924,0.16024366629014,14.0053019825144,62.546232047765,16.4593738746191,52.4511860577699,8.50705428396315,94.9672422139745,17.1000387514562,48.8739712764241,0.167728768434084,30.1237405196063,0.157304746823085,29.9710795546232,3.75447922638168,6.63546877521381,2.53294289444015,2.6764563498467,3.24380594634846,6.17088913990641,5.55678891353354,13.9088268517024,4.65720223776137,0.609942950285249,4.74376562511963,2.29160554197229,3.52882187028245,3.09959250203749,3.66092068157043,3.78826405867971,0.231059036621182,Shreveport,Louisiana,-93.7,32.4667,46,230.17494213248,3,LA
KBFI,13.2461395232631,64.764131305044,9.81910307664851,49.9817453963171,0.239409751237708,0.102070456365092,7.99029601974925,49.5402722177742,9.37039271882502,42.0259407526021,10.2692546732511,86.3513210568455,16.4311998083345,50.9668534827862,0.180341049297064,30.1085108086469,0.217042414706814,29.9303426741393,3.26385491011907,7.40240192153723,2.63153834049796,4.6275420336269,2.59717539809685,4.67782225780624,3.70980222561684,11.1476381104884,3.55530281627524,-1.66294678958434,3.60419244714195,-0.990616405112441,2.49206424657306,3.0321850234514,2.43243874885481,2.83789030901149,-0.128072916773738,Seattle,Washington,-122.333,47.6167,41,1.16824950648118,4,WA
KBFM,11.7041181458333,79.1838270616493,13.4041959836571,61.8105684547638,0.49299795978324,0.174770216172938,12.4991115487859,66.4273819055244,16.0680886527894,56.5349879903923,7.46194854906297,94.289351481185,16.6190590813571,55.5662129703763,0.145049944891327,30.1361985588471,0.143230497553471,30.0124371497198,3.86716068796691,6.46277021617294,2.38488263043621,2.63714971977582,3.24986216345746,6.39519615692554,4.98648123781906,14.0536429143315,3.47565461626281,-0.243085880640466,4.63393435950058,0.161248584829371,2.4474800982579,2.47954067604723,3.15989759215981,3.39301310043668,0.257237672598776,Mobile,Alabama,-88.05,30.7,4,1.0348986231735,3,AL
KBGR,21.0800476252911,57.2909527622098,19.9757548924931,36.4871096877502,0.285223587045021,0.104125700560448,18.6522494084856,43.0975180144115,21.629354977141,30.6193755004003,10.6142650765748,90.7325860688551,17.3713703378953,48.8560448358687,0.232381009110079,30.0981072858287,0.259833109543303,29.8555100080064,4.1905721804049,5.74635708566854,2.29779803640172,4.96108887109688,3.4600577875689,6.91433146517214,5.57096744330159,18.3290632506005,4.50934362598761,-0.787158337376678,6.80088955643334,2.67588549247938,3.01791840330175,3.44153323629306,5.08325119080556,5.2506873685913,-0.0506680147949852,Bangor,Maine,-68.7833,44.8,46,0.778630473036258,2,ME
KBHB,18.1389146292096,54.9730182671359,17.8847113146871,37.8084464555053,0.310804714704264,0.0997450331125828,17.5468400651119,45.7361181009898,20.7431792891929,32.6861264888442,8.98975024767321,95.0578761952692,19.4645516575646,56.2331823519544,0.229153854324283,30.1051609157266,0.261417315342687,29.8601078301261,4.07902164581288,5.33592715231788,2.78738649208426,3.80281456953642,3.36935312310733,6.25115894039735,4.91526450221567,14.9399006622517,5.04297188058921,-3.13109756097561,6.58361306702916,2.41106856943961,3.67033232637291,4.664972899729,4.82010971728739,5.0911938739993,0.077454623582199,Eastport,Maine,-66.99,44.91,35,0.435655057842547,2,ME
KBHM,14.7408940813327,76.7997120460726,15.5794768116636,56.179491281395,0.410101679224991,0.154259318509039,14.627546391909,58.9448088305871,17.9706198019943,48.4106542953128,9.30635730372511,89.7733162693969,16.4005372539208,44.8488241881299,0.152240805858629,30.1570852663574,0.155643084493851,30.0110030395137,3.56868138142254,7.09566469364902,2.41891774136981,3.99392097264438,2.89746197556691,5.96784514477684,5.74048052215729,17.2297838270616,4.01067323093808,-0.707384068508644,4.67135529618062,1.06867022136048,2.82732819407105,2.93100662465665,3.32221636209227,3.45322346097916,0.26998356604879,Birmingham,Alabama,-86.8333,33.5,172,309.461064103777,3,AL
