"city","state","longitude","latitude","elevation","AirPtCd","name.arpt","state.arpt","lon.arpt","lat.arpt","elev.arpt","WMO","census2010","est2010","est2016","dist2coast","coastRegion","Cluster6","color","name","ClustName"
"Eastport","Maine",-66.99,44.91,35,"KBHB","Bar Harbor","ME",-68.37,44.45,26,99999,1331,1331,1255,0.435655057842547,"N",2,"#377EB8","Eastport, Maine","Northeast"
"Bangor","Maine",-68.7833,44.8,46,"KBGR","Bangor","ME",-68.83,44.8,59,99999,33039,33037,31985,0.778630473036258,"N",2,"#377EB8","Bangor, Maine","Northeast"
"Portland","Maine",-70.25,43.6667,45,"KPWM","Portland","ME",-70.32,43.65,19,72606,66194,66194,66937,0.678320907484571,"N",2,"#377EB8","Portland, Maine","Northeast"
"Boston","Massachusetts",-71.0833,42.35,3,"KBOS","Boston","MA",-71.03,42.37,9,72509,617594,617668,673184,0.526550599023342,"N",2,"#377EB8","Boston, Massachusetts","Northeast"
"Providence","Rhode Island",-71.4,41.8333,48,"KPVD","Providence","RI",-71.43,41.73,19,72507,178042,178038,179219,1.25936498287597,"M",2,"#377EB8","Providence, Rhode Island","Northeast"
"Manchester","New Hampshire",-71.5,43,52,"KMHT","Manchester","NH",-71.43,42.93,71,99999,109565,109574,110506,40.7872051209432,"N",2,"#377EB8","Manchester, New Hampshire","Northeast"
"Montpelier","Vermont",-72.5333,44.25,256,"KMPV","Montpelier","VT",-72.57,44.2,355,99999,7855,7849,7535,176.937959343706,"N",2,"#377EB8","Montpelier, Vermont","Northeast"
"Springfield","Massachusetts",-72.5667,42.1,59,"KCEF","Chicopee","MA",-72.53,42.2,75,74491,153060,153195,154074,75.7048139435836,"M",2,"#377EB8","Springfield, Massachusetts","Northeast"
"New Haven","Connecticut",-72.9167,41.3167,10,"KHVN","New Haven","CT",-72.88,41.27,4,99999,129779,129890,129934,1.2600368426202,"M",2,"#377EB8","New Haven, Connecticut","Northeast"
"Albany","New York",-73.75,42.6667,26,"KALB","Albany","NY",-73.8,42.75,89,72518,97856,97840,98111,1.25006406308377,"M",2,"#377EB8","Albany, New York","Northeast"
"New York","New York",-73.9667,40.7833,35,"KNYC","Central Park","NY",-73.98,40.77,27,99999,8175133,8174962,8537673,1.53415557125812,"M",2,"#377EB8","New York, New York","Northeast"
"Atlantic City","New Jersey",-74.4167,39.3667,4,"KACY","Atlantic City","NJ",-74.57,39.45,20,72407,39558,39558,38735,0.557594150344886,"M",2,"#377EB8","Atlantic City, New Jersey","Northeast"
"Philadelphia","Pennsylvania",-75.1667,39.95,17,"KPHL","Philadelphia","PA",-75.25,39.88,9,72408,1526006,1526006,1567872,1.22149103652045,"M",2,"#377EB8","Philadelphia, Pennsylvania","Northeast"
"Dover","Delaware",-75.5267,39.1619,11,"KDOV","Dover AFB","DE",-75.47,39.13,9,99999,36047,35934,37786,1.00075433653837,"M",2,"#377EB8","Dover, Delaware","Northeast"
"Scranton","Pennsylvania",-75.65,41.4,269,"KAVP","Avoca","PA",-75.73,41.33,289,72513,76089,76089,77291,135.431484835106,"M",2,"#377EB8","Scranton, Pennsylvania","Northeast"
"Watertown","New York",-75.9167,43.9667,149,"KART","Watertown","NY",-76.02,44,99,99999,27023,26816,25900,8.70000541796427,"L",2,"#377EB8","Watertown, New York","Northeast"
"Syracuse","New York",-76.1333,43.0333,177,"KSYR","Syracuse","NY",-76.12,43.12,124,72519,145170,145208,143378,52.875067444161,"L",2,"#377EB8","Syracuse, New York","Northeast"
"Baltimore","Maryland",-76.6333,39.3,49,"KDMH","Maryland Science Center","MD",-76.61,39.28,19,99999,620961,621139,614664,2.45158940478312,"M",2,"#377EB8","Baltimore, Maryland","Northeast"
"Richmond","Virginia",-77.4833,37.55,67,"KOFP","Richmond Hanover County","VA",-77.43,37.7,63,99999,204214,204142,223170,4.10974900900315,"M",2,"#377EB8","Richmond, Virginia","Northeast"
"Wilmington","North Carolina",-77.95,34.2333,1,"KILM","Wilmington","NC",-77.9,34.27,10,99999,106476,106430,117525,0.0551584343270269,"S",3,"#4DAF4A","Wilmington, North Carolina","Southeast"
"Raleigh","North Carolina",-78.65,35.7667,94,"KRDU","Raleigh-Durham Airport","NC",-78.78,35.87,134,72306,403892,404054,458880,143.73916848449,"S",3,"#4DAF4A","Raleigh, North Carolina","Southeast"
"Buffalo","New York",-78.8333,42.9167,198,"KBUF","Buffalo","NY",-78.73,42.93,215,72528,261310,261433,256902,2.9643670260717,"L",2,"#377EB8","Buffalo, New York","Northeast"
"Charleston","South Carolina",-79.9333,32.7833,7,"KCHS","Charleston","SC",-80.03,32.9,15,72208,120083,120150,134385,0.80409276632564,"S",3,"#4DAF4A","Charleston, South Carolina","Southeast"
"Pittsburgh","Pennsylvania",-79.95,40.45,276,"KAGC","Pittsburgh Allegheny Co.","PA",-79.93,40.35,382,99999,305704,305687,303625,171.696535582235,"L",2,"#377EB8","Pittsburgh, Pennsylvania","Northeast"
"Roanoke","Virginia",-79.95,37.2833,304,"KROA","Roanoke","VA",-79.97,37.32,358,72411,97032,96919,99660,222.483013795074,"M",2,"#377EB8","Roanoke, Virginia","Northeast"
"Miami","Florida",-80.2,25.7667,5,"KMIA","Miami","FL",-80.28,25.82,4,72202,399457,399527,453579,0.286680933424831,"S",4,"#F781BF","Miami, Florida","Cali-Florida"
"Charlotte","North Carolina",-80.8333,35.2333,227,"KCLT","Charlotte","NC",-80.93,35.22,234,72314,731424,735612,842051,216.97096628852,"S",3,"#4DAF4A","Charlotte, North Carolina","Southeast"
"Columbia","South Carolina",-81.0333,34,98,"KCUB","Columbia Owens","SC",-80.99,33.97,56,99999,129272,130192,134309,101.58111316408,"S",3,"#4DAF4A","Columbia, South Carolina","Southeast"
"Savannah","Georgia",-81.0833,32.0833,8,"KSVN","Savannah Hunter","GA",-81.15,32.02,13,99999,136286,136963,146763,0.151308018400812,"S",3,"#4DAF4A","Savannah, Georgia","Southeast"
"Cleveland","Ohio",-81.6167,41.4667,252,"KBKL","Cleveland Burke","OH",-81.68,41.52,178,99999,396815,396697,385809,5.47230351772684,"L",2,"#377EB8","Cleveland, Ohio","Northeast"
"Charleston","West Virginia",-81.6333,38.35,182,"KCRW","Charleston","WV",-81.6,38.37,299,72414,51400,51340,49138,344.520912196202,"L",3,"#4DAF4A","Charleston, West Virginia","Southeast"
"Jacksonville","Florida",-81.6667,30.3667,10,"KNIP","Jacksonville NAS","FL",-81.68,30.23,7,99999,821784,821784,880619,1.57871516998541,"S",3,"#4DAF4A","Jacksonville, Florida","Southeast"
"Key West","Florida",-81.8,24.55,2,"KEYW","Key West","FL",-81.75,24.55,6,72201,24649,24648,26990,0.400430493737062,"GS",4,"#F781BF","Key West, Florida","Cali-Florida"
"Tampa","Florida",-82.45,27.95,5,"KTPA","Tampa","FL",-82.53,27.97,3,72211,335709,335713,377165,0.559941605361346,"G",4,"#F781BF","Tampa, Florida","Cali-Florida"
"Columbus","Ohio",-83.0167,40,226,"KOSU","Ohio State University","OH",-83.07,40.08,276,99999,787033,788866,860090,156.567293421286,"L",2,"#377EB8","Columbus, Ohio","Northeast"
"Detroit","Michigan",-83.05,42.3333,183,"KDET","Detroit","MI",-83.02,42.42,191,99999,713777,713862,672795,0.893311511859978,"L",2,"#377EB8","Detroit, Michigan","Northeast"
