"AirPtCd","month","lag","Sd_Max_Temp","Max_Temp","Sd_Min_Temp","Min_Temp","Sd_Precip","Mean_Precip","Sd_Max_DewPoint","Max_DewPoint","Sd_Min_DewPoint","Min_DewPoint","Sd_Max_Humidity","Max_Humidity","Sd_Min_Humidity","Min_Humidity","Sd_Max_Sea_Level_Press","Max_Sea_Level_Press","Sd_Min_Sea_Level_Press","Min_Sea_Level_Press","Sd_Vis","Min_Vis","Sd_CloudCover","CloudCover","Sd_Mean_Wind_Speed","Mean_Wind_Speed","Sd_Max_Wind_Speed","Max_Wind_Speed","mxT_sd","mxT_mean","mnT_sd","mnT_mean","mxT_sd_abs","mxT_mean_abs","mnT_sd_abs","mnT_mean_abs","BSS","city","state","longitude","latitude","elevation","dist2coast"
"KAAO",1,0,14.0633757416995,45.1038961038961,9.9301043285251,24.2987012987013,0.110644510899582,0.0280519480519481,9.89918422179354,29.6493506493506,10.6103709953479,18.3766233766234,10.0933273167288,86.3116883116883,19.1898989435262,47.4675324675325,0.272731117539542,30.255974025974,0.277099146724626,29.9494805194805,3.57069028596015,7.44155844155844,3.09576033591366,2.90909090909091,3.92230594639372,10.6623376623377,5.92658433786912,18.8181818181818,3.45110362052342,-0.467532467532468,5.10062786801621,0.220779220779221,2.00264691558183,2.83116883116883,3.75041578920716,3.44155844155844,0.381320363536848,"Wichita","Kansas",-97.2833,37.7167,429,892.843265018098
"KAAO",1,1,13.9949552314334,44.3552631578947,9.90313613271866,24.1447368421053,0.109996092434582,0.0259210526315789,10.0696173205567,29.4473684210526,10.7006476275561,18.0526315789474,10.3395934631133,86.1973684210526,18.4509211484974,47.7368421052632,0.28120143245374,30.2636842105263,0.285538334293098,29.9634210526316,3.4888041484103,7.53947368421053,3.08112533554436,3,3.98036849215413,10.75,6.05835656020066,18.8289473684211,4.08643455452563,-0.684210526315789,5.68272235230029,2,2.41965634793564,3.34210526315789,3.97827433275618,4.5,0.350873061995922,"Wichita","Kansas",-97.2833,37.7167,429,892.843265018098
"KAAO",1,2,13.8687801577162,44.1466666666667,10.0724939878431,23.76,0.112309899445746,0.03,10.4657657269907,29.1466666666667,11.1836753616418,17.92,10.6012917791837,86.1333333333333,18.4970121765506,47.68,0.287070446826979,30.2698666666667,0.292036157208516,29.9698666666667,3.57655025292693,7.45333333333333,3.04423839200996,2.94666666666667,3.90901015096666,10.4933333333333,6.09510215421122,18.72,4.99938734985337,-0.706666666666667,5.51567790055789,2.36,2.99296472378774,4.04,3.61991488626235,4.76,0.27650364978844,"Wichita","Kansas",-97.2833,37.7167,429,892.843265018098
"KAAO",1,3,13.9136877622542,44.2567567567568,9.84124258084247,23.8378378378378,0.111686691542693,0.027972972972973,10.4292542728209,29.4324324324324,10.9833858578258,17.9054054054054,10.6086173434629,86.7567567567568,18.1244412902692,47.5675675675676,0.29003813790001,30.2663513513514,0.295187112390993,29.9664864864865,3.53427706922835,7.31081081081081,3.08970535097899,2.95945945945946,3.67042877466048,10.2972972972973,5.81938442604644,18.4324324324324,5.83832846197564,-1.44594594594595,5.5586969192615,2.39189189189189,3.7645681483015,4.66216216216216,3.65640638658071,4.7972972972973,0.152588217808581,"Wichita","Kansas",-97.2833,37.7167,429,892.843265018098
"KAAO",1,4,13.5622753262258,43.8493150684931,9.80411260893643,23.8219178082192,0.112410627446258,0.0283561643835616,10.3843562825699,29.6712328767123,11.0679030502614,17.8767123287671,10.4175935660671,87.1232876712329,17.1499342136115,48.0684931506849,0.299817359421789,30.268904109589,0.303422699967229,29.9576712328767,3.62392061293125,7.24657534246575,3.00614540531045,3.06849315068493,4.01168384920049,10.6438356164384,6.18727274231736,18.9041095890411,6.65589883828697,-1.41095890410959,6.1075470442741,2.31506849315068,3.84750210533181,5.57534246575342,3.81248050622558,5.27397260273973,0.12707990819936,"Wichita","Kansas",-97.2833,37.7167,429,892.843265018098
"KAAO",1,5,13.7615508461125,43.3333333333333,9.99890447833277,23.2777777777778,0.113195079301579,0.0284722222222222,10.7007963373536,29.1666666666667,11.30851155059,17.3194444444444,10.501946685927,86.9305555555556,17.2506832324833,47.8611111111111,0.305827080950787,30.2777777777778,0.313843232099879,29.9619444444444,3.63276581690015,7.23611111111111,3.01842930892174,3.04166666666667,3.94286265094209,10.5555555555556,6.21592432225238,18.8055555555556,7.82476306720548,-1.38888888888889,6.7508766022109,2.44444444444444,4.85493795379625,6.25,4.25507153909507,5.75,0.0798488798000839,"Wichita","Kansas",-97.2833,37.7167,429,892.843265018098
"KAAO",2,0,14.570436474163,51.7261904761905,10.961022059543,28.0238095238095,0.0669883232818239,0.0157142857142857,12.2890402641494,32.5595238095238,11.4738096339349,18.452380952381,11.6440995574466,82.6309523809524,14.84200594806,38.8333333333333,0.252078792697948,30.2335714285714,0.25896457402975,29.94,3.40311355531056,8.09523809523809,2.3869445538022,2.03571428571429,4.31921549473511,11.5833333333333,6.62480041158994,20.4404761904762,3.79411326499152,0.880952380952381,5.58212046151065,0.142857142857143,2.65635556723839,2.83333333333333,3.87142761875111,4,0.550687035366312,"Wichita","Kansas",-97.2833,37.7167,429,892.843265018098
"KAAO",2,1,14.5715045052188,51.6428571428571,10.941631770198,27.9404761904762,0.0669883232818239,0.0157142857142857,12.282035400303,32.5833333333333,11.4545924368541,18.5952380952381,11.6039231599592,82.8928571428571,14.7145482043551,39.0119047619048,0.252640445084026,30.2357142857143,0.259437694608592,29.9407142857143,3.40311355531056,8.09523809523809,2.3946536358252,2.02380952380952,4.30046228952359,11.5,6.56713203601298,20.297619047619,4.77815357410575,0.523809523809524,7.3087393360778,3.16666666666667,3.05364167533684,3.69047619047619,5.15285571053651,6.04761904761905,0.485536655494427,"Wichita","Kansas",-97.2833,37.7167,429,892.843265018098
"KAAO",2,2,14.5445484579307,51.7857142857143,10.9593927890223,27.9880952380952,0.0669883232818239,0.0157142857142857,12.2011022516842,32.6904761904762,11.4620466783304,18.5833333333333,11.4397320720163,83,14.7972528501239,38.9285714285714,0.252650891049557,30.2352380952381,0.258554390641993,29.9395238095238,3.40311355531056,8.09523809523809,2.3869445538022,2.03571428571429,4.13975243230839,11.4166666666667,6.40796084056787,20.2142857142857,5.42495614434817,0.0595238095238095,7.30040395301679,3.20238095238095,3.45885992645271,4.15476190476191,4.88260050816344,6.27380952380952,0.344751926575872,"Wichita","Kansas",-97.2833,37.7167,429,892.843265018098
"KAAO",2,3,14.5283073836274,51.8095238095238,10.9476142686687,28.0714285714286,0.0669883232818239,0.0157142857142857,12.21411460258,32.6785714285714,11.4620466783304,18.5833333333333,11.5900030121716,82.9047619047619,14.826226162263,38.8809523809524,0.252218612203658,30.2338095238095,0.258554390641993,29.9395238095238,3.40311355531056,8.09523809523809,2.39725770849546,2.01190476190476,4.31163750968432,11.5119047619048,6.60655631516008,20.3333333333333,5.51838059427286,-0.630952380952381,7.37336191051638,3.08333333333333,3.39659560923064,4.36904761904762,4.75677793434751,6.39285714285714,0.305062614699896,"Wichita","Kansas",-97.2833,37.7167,429,892.843265018098
