"AirPtCd","lag","Sd_Max_Temp","Max_Temp","Sd_Min_Temp","Min_Temp","Sd_Precip","Mean_Precip","Sd_Max_DewPoint","Max_DewPoint","Sd_Min_DewPoint","Min_DewPoint","Sd_Max_Humidity","Max_Humidity","Sd_Min_Humidity","Min_Humidity","Sd_Max_Sea_Level_Press","Max_Sea_Level_Press","Sd_Min_Sea_Level_Press","Min_Sea_Level_Press","Sd_Vis","Min_Vis","Sd_CloudCover","CloudCover","Sd_Mean_Wind_Speed","Mean_Wind_Speed","Sd_Max_Wind_Speed","Max_Wind_Speed","mxT_sd","mxT_mean","mnT_sd","mnT_mean","mxT_sd_abs","mxT_mean_abs","mnT_sd_abs","mnT_mean_abs","BSS","city","state","longitude","latitude","elevation","dist2coast"
"KAAO",0,18.972968757664,71.0107212475634,18.2203700436473,49.300487804878,0.288246182559171,0.0820991253644315,17.5635372596569,52.6154598825832,19.6165102294758,42.1311154598826,11.070461701106,87.9853228962818,15.7234321550714,44.7857142857143,0.213563435492372,30.1113216715258,0.209087732971731,29.9034888241011,3.57749652708918,7.51565557729941,2.58407853794034,2.31121951219512,4.26736119517928,10.3053658536585,6.53428429049612,18.6019512195122,3.12663158626332,0.645853658536585,4.21925468090239,0.451171875,2.14795483769005,2.3609756097561,3.0960258705878,2.900390625,0.377631010390885,"Wichita","Kansas",-97.2833,37.7167,429,892.843265018098
"KAAO",1,19.0634824317012,70.9326829268293,18.2360281825382,49.2822265625,0.289656838934381,0.0841828793774319,17.6000210150403,52.5978473581213,19.6110632106826,42.1389432485323,11.0904024815907,87.9941291585127,15.6430134381763,44.9520547945205,0.215373776906871,30.1127042801556,0.210822058723874,29.9046595330739,3.56129168795279,7.52791380999021,2.59422104980789,2.3310546875,4.24392031076287,10.33203125,6.55366614388194,18.615234375,3.60972941850618,0.599609375,5.19564104098495,1.97947214076246,2.45202937776115,2.71484375,3.80364988618894,4.05376344086022,0.288332919970128,"Wichita","Kansas",-97.2833,37.7167,429,892.843265018098
"KAAO",2,19.0686437465821,70.958984375,18.3196606641223,49.2570869990225,0.285571913575962,0.0820914396887159,17.6099524198238,52.6111655239961,19.6681390470028,42.1420176297747,11.0421149125452,88.0333006856024,15.4660117280586,44.8481880509305,0.216354475899434,30.1127529182879,0.212429845039654,29.9047859922179,3.55392183470118,7.52549019607843,2.5739916557565,2.32160312805474,4.22874166341707,10.3020527859238,6.53849459085315,18.6373411534702,4.25883021394279,0.331378299120235,5.14647571095737,2.08610567514677,2.84188080437001,3.18768328445748,3.73323559650316,4.10958904109589,0.202012767448842,"Wichita","Kansas",-97.2833,37.7167,429,892.843265018098
"KAAO",3,19.0158220470005,70.9706457925636,18.2563519496839,49.2438785504407,0.283938854918418,0.0805360623781676,17.5564434232212,52.639842983317,19.6523298431236,42.1256133464181,11.0216331097269,88.1658488714426,15.4092043244793,44.8420019627085,0.214980595838944,30.1130311890838,0.212866421590592,29.9042787524366,3.56488554021756,7.49312377210216,2.57570776977087,2.31145935357493,4.25023239691447,10.2889324191969,6.58677130768348,18.6327130264447,4.75788826268236,-0.139079333986288,5.12521688714121,2.17450980392157,3.17171106960622,3.54750244857982,3.67757513473688,4.17843137254902,0.12879295933707,"Wichita","Kansas",-97.2833,37.7167,429,892.843265018098
"KAAO",4,19.0488383276151,70.898139079334,18.2502154788732,49.256862745098,0.286229920280392,0.0826634146341463,17.5545625898122,52.6745329400197,19.6639729160756,42.1484759095379,11.0270581527985,88.2114060963619,15.3078742008949,44.8839724680433,0.216288349553181,30.1132780487805,0.212182390424848,29.9044195121951,3.57590082583648,7.47590953785644,2.57539247209918,2.33333333333333,4.25054494493216,10.2862745098039,6.59987195039333,18.6294117647059,5.31296682312821,-0.147058823529412,5.21446885357125,2.15309126594701,3.42216544048154,4.06470588235294,3.64970460786002,4.30029440628067,-0.0585698869814242,"Wichita","Kansas",-97.2833,37.7167,429,892.843265018098
"KAAO",5,19.0429562283838,70.9392156862745,18.2793894469868,49.2374877330716,0.286370976693892,0.082646484375,17.5692826616885,52.6764995083579,19.6617841688637,42.1878072763028,11.07301909121,88.2182890855457,15.2860987905434,44.9331366764995,0.217199267905905,30.11212890625,0.213742553939222,29.903037109375,3.57968343158793,7.45964566929134,2.56447069877802,2.33464180569185,4.26818189848734,10.279685966634,6.61452004807122,18.6054955839058,6.25675671221716,-0.141315014720314,5.65033038002713,2.0992141453831,3.96699084142903,4.83807654563297,3.86718995979203,4.62180746561886,-0.0886546928063887,"Wichita","Kansas",-97.2833,37.7167,429,892.843265018098
"KACY",0,17.6073681863279,66.7417794970986,17.5858710186925,47.2050290135397,0.415455796014105,0.140846228239845,17.2902771904105,52.2675097276265,20.1424259683195,39.7052529182879,11.1698660248096,88.7336585365854,16.8585621112145,47.8271844660194,0.194509542505153,30.1301357904947,0.211500368563416,29.9335402521823,4.10608528732863,6.15856031128405,2.68168975807252,3.15077821011673,3.9227516312857,8.63565891472868,6.26266736908385,19.2194174757282,4.23557955649861,-3.20116054158607,6.90435678026993,3.26885880077369,3.49027136361555,4,5.16273345223647,5.62862669245648,0.425458234097704,"Atlantic City","New Jersey",-74.4167,39.3667,4,0.557594150344886
"KACY",1,17.5927708718248,66.6979670861568,17.5524881301241,47.2023233301065,0.419341576950606,0.141524685382381,17.3650998692035,52.1499513145083,20.1245594049756,39.713729308666,11.3492290348007,88.6129032258064,16.9764742623848,47.8804664723032,0.194366322046724,30.1325242718447,0.211718876741403,29.9367475728155,4.10934213981621,6.17721518987342,2.6892246004098,3.14313534566699,3.90804220490292,8.62754607177498,6.24119168079642,19.2040816326531,4.51824286220613,-3.06389157792836,6.97448660352765,3.65924491771539,3.4904503516013,4.19651500484027,5.31127162265101,5.81413359148112,0.367422081670932,"Atlantic City","New Jersey",-74.4167,39.3667,4,0.557594150344886
"KACY",2,17.6135374098439,66.7063953488372,17.6261153179754,47.1841085271318,0.401073633686642,0.135227713178295,17.3824086113063,52.1656920077973,20.1580966924971,39.7436647173489,11.2832905567804,88.6223091976517,16.971246116692,47.7704280155642,0.195546961226299,30.1343537414966,0.20976044914694,29.9391933916424,4.09601599436597,6.20760233918129,2.68904902208565,3.12962962962963,3.8793186992734,8.60776699029126,6.22196849831172,19.1867704280156,5.01926219602329,-3.25484496124031,6.93276948766642,4.92538759689922,3.84201411393459,4.5843023255814,5.471903502925,6.50872093023256,0.295689553416066,"Atlantic City","New Jersey",-74.4167,39.3667,4,0.557594150344886
"KACY",3,17.647548031447,66.8031037827352,17.6564414629989,47.19592628516,0.422124797690196,0.14515518913676,17.3820484913631,52.2360975609756,20.1836208328382,39.7873170731707,11.3129910455141,88.6650342801175,17.0381748300273,47.7487828627069,0.195116631792101,30.1340661478599,0.212039873415632,29.9367217898833,4.10205950095684,6.20780487804878,2.68718021353239,3.12,3.94437875333719,8.6511175898931,6.26945012928512,19.2648490749757,5.40874856460314,-3.78467507274491,6.8399194466451,4.88360814742968,4.16409115608411,5.12124151309408,5.37829413999102,6.45683802133851,0.12667496577013,"Atlantic City","New Jersey",-74.4167,39.3667,4,0.557594150344886
